Email;Event;EyeCenter0X;EyeCenter0Y;EyeCenter0Z;EyeCenter1X;EyeCenter1Y;EyeCenter1Z;Framecount;GazeConfidence;GazeDistance;GazeNormal0X;GazeNormal0Y;GazeNormal0Z;GazeNormal1X;GazeNormal1Y;GazeNormal1Z;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HeadCameraRotTravelX;HeadCameraRotTravelY;HeadCameraRotTravelZ;LeftControllerLaserPosTravelX;LeftControllerLaserPosTravelY;LeftControllerLaserPosTravelZ;LeftControllerLaserPosWorldX;LeftControllerLaserPosWorldY;LeftControllerLaserPosWorldZ;LeftControllerLaserRotEulerX;LeftControllerLaserRotEulerY;LeftControllerLaserRotEulerZ;LeftControllerPosTravelX;LeftControllerPosTravelY;LeftControllerPosTravelZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerRotTravelX;LeftControllerRotTravelY;LeftControllerRotTravelZ;LocalGazeDirectionX;LocalGazeDirectionY;LocalGazeDirectionZ;PupilTime;RightControllerLaserPosTravelX;RightControllerLaserPosTravelY;RightControllerLaserPosTravelZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerPosTravelX;RightControllerPosTravelY;RightControllerPosTravelZ;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerRotTravelX;RightControllerRotTravelY;RightControllerRotTravelZ;SessionID;Timestamp;UnityToPupilTimeOffset;ViewportLowerLeftX;ViewportLowerLeftY;ViewportLowerLeftZ;ViewportLowerMiddleX;ViewportLowerMiddleY;ViewportLowerMiddleZ;ViewportLowerRightX;ViewportLowerRightY;ViewportLowerRightZ;ViewportUpperLeftX;ViewportUpperLeftY;ViewportUpperLeftZ;ViewportUpperMiddleX;ViewportUpperMiddleY;ViewportUpperMiddleZ;ViewportUpperRightX;ViewportUpperRightY;ViewportUpperRightZ;WorldGazeDirectionX;WorldGazeDirectionY;WorldGazeDirectionZ;WorldGazeHitObjectIsMole;WorldGazeHitObjectIsWall;WorldGazeHitObjectMoleID;WorldGazeHitObjectName;WorldGazeHitPositionX;WorldGazeHitPositionY;WorldGazeHitPositionZ;WorldGazeOriginX;WorldGazeOriginY;WorldGazeOriginZ
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;2103;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0287;1.2275;-0.2400;5.0264;1.5021;0.3935;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.2200;1.9000;2.3000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.1282;0.2765;0.2552;0.0000;45.6318;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;0.0000;0.0000;0.0000;-406.2326;-816.8632;-407.1940;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.2316;1.0412;0.2151;323.9486;5.5012;324.8078;0.0000;0.0000;0.0000;2a709e7d-0405-4a89-99a2-89cb901f7841;2023-02-01 11:22:49.6903;NULL;-2.3367;-0.8575;3.9437;0.2205;-2.3567;3.2034;2.8477;-0.5938;3.7616;-3.0909;2.3305;4.9559;0.2722;4.5247;6.0459;2.8515;2.3795;4.5493;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;2104;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0270;1.2275;-0.2373;5.8199;0.7066;359.4890;0.7935;0.7955;359.0954;0.0000;0.0000;0.0000;-0.2200;1.9000;2.3000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.1282;0.2765;0.2552;0.0000;45.6318;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;406.2825;817.2821;413.3410;0.0499;0.4189;6.1470;0.0000;0.0000;0.0000;0.0045;0.0395;0.0041;0.2361;1.0807;0.2110;312.6589;10.6396;326.4653;11.2897;5.1383;1.6575;2a709e7d-0405-4a89-99a2-89cb901f7841;2023-02-01 11:22:49.7363;NULL;-2.4234;-0.8753;3.8882;0.1187;-2.4053;3.1590;2.7664;-0.6926;3.7734;-3.1394;2.3105;4.9345;0.2443;4.4356;6.0955;2.8076;2.2695;4.6016;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;2105;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0269;1.2279;-0.2374;5.8205;0.5423;359.3902;0.0007;0.1642;0.0987;0.0000;0.0000;0.0000;-0.2200;1.9000;2.3000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.1282;0.2765;0.2552;0.0000;45.6318;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;0.0357;0.3708;0.0949;0.0856;0.7897;6.2419;0.0000;0.0000;0.0000;0.0020;0.0049;0.0020;0.2382;1.0857;0.2130;312.0438;11.7298;325.1215;0.6152;1.0903;1.3438;2a709e7d-0405-4a89-99a2-89cb901f7841;2023-02-01 11:22:49.7579;NULL;-2.4381;-0.8707;3.8814;0.1033;-2.4050;3.1592;2.7522;-0.6968;3.7807;-3.1515;2.3164;4.9258;0.2327;4.4356;6.0959;2.7963;2.2652;4.6090;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;2106;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0269;1.2281;-0.2375;5.7833;0.4211;359.5178;0.0372;0.1212;0.1276;0.0000;0.0000;0.0000;-0.2200;1.9000;2.3000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.1282;0.2765;0.2552;0.0000;45.6318;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;0.0189;0.0484;0.0126;0.1045;0.8380;6.2545;0.0000;0.0000;0.0000;0.0026;0.0018;0.0049;0.2408;1.0875;0.2179;313.3187;12.6431;322.6651;1.2749;0.9132;2.4564;2a709e7d-0405-4a89-99a2-89cb901f7841;2023-02-01 11:22:49.7744;NULL;-2.4431;-0.8734;3.8768;0.1034;-2.4025;3.1614;2.7471;-0.6880;3.7881;-3.1660;2.3128;4.9175;0.2107;4.4403;6.0942;2.7827;2.2746;4.6146;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;2107;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0270;1.2281;-0.2377;5.7374;0.4056;359.6387;0.0459;0.0155;0.1209;0.0000;0.0000;0.0000;-0.2200;1.9000;2.3000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.1282;0.2765;0.2552;0.0000;45.6318;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;0.0219;0.0174;0.0034;0.1263;0.8554;6.2579;0.0000;0.0000;0.0000;0.0011;0.0003;0.0047;0.2418;1.0877;0.2226;315.2628;12.7894;320.5817;1.9441;0.1463;2.0834;2a709e7d-0405-4a89-99a2-89cb901f7841;2023-02-01 11:22:49.7913;NULL;-2.4406;-0.8753;3.8771;0.1095;-2.3996;3.1642;2.7492;-0.6791;3.7908;-3.1706;2.3101;4.9149;0.2010;4.4457;6.0916;2.7782;2.2843;4.6150;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;2108;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0271;1.2282;-0.2379;5.6921;0.4110;359.7329;0.0453;0.0054;0.0941;0.0000;0.0000;0.0000;-0.2200;1.9000;2.3000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.1282;0.2765;0.2552;0.0000;45.6318;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;0.0093;0.0021;0.0015;0.1357;0.8575;6.2595;0.0000;0.0000;0.0000;0.0005;0.0004;0.0057;0.2423;1.0873;0.2284;317.0367;12.3584;319.7872;1.7740;0.4310;0.7946;2a709e7d-0405-4a89-99a2-89cb901f7841;2023-02-01 11:22:49.8043;NULL;-2.4374;-0.8761;3.8784;0.1152;-2.3968;3.1668;2.7521;-0.6714;3.7922;-3.1727;2.3089;4.9137;0.1953;4.4509;6.0889;2.7762;2.2926;4.6141;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;2109;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0272;1.2284;-0.2379;5.6739;0.4083;359.8097;0.0183;0.0026;0.0768;0.0000;0.0000;0.0000;-0.2200;1.9000;2.3000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.1282;0.2765;0.2552;0.0000;45.6318;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;0.0025;0.0043;0.0025;0.1382;0.8532;6.2570;0.0000;0.0000;0.0000;0.0013;0.0002;0.0041;0.2410;1.0871;0.2325;318.4552;11.2928;320.6745;1.4185;1.0656;0.8873;2a709e7d-0405-4a89-99a2-89cb901f7841;2023-02-01 11:22:49.8173;NULL;-2.4352;-0.8779;3.8786;0.1196;-2.3954;3.1679;2.7541;-0.6664;3.7933;-3.1750;2.3064;4.9128;0.1900;4.4533;6.0879;2.7740;2.2980;4.6143;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;2110;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0272;1.2285;-0.2382;5.6222;0.4055;359.8765;0.0516;0.0028;0.0668;0.0000;0.0000;0.0000;-0.2200;1.9000;2.3000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.1282;0.2765;0.2552;0.0000;45.6318;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;0.0133;0.0019;0.0001;0.1249;0.8513;6.2571;0.0000;0.0000;0.0000;0.0025;0.0002;0.0045;0.2385;1.0869;0.2370;319.8021;9.6766;322.8223;1.3469;1.6162;2.1478;2a709e7d-0405-4a89-99a2-89cb901f7841;2023-02-01 11:22:49.8313;NULL;-2.4333;-0.8770;3.8798;0.1233;-2.3922;3.1709;2.7557;-0.6595;3.7951;-3.1770;2.3074;4.9110;0.1853;4.4592;6.0848;2.7720;2.3056;4.6134;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;2111;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0273;1.2287;-0.2383;5.5566;0.4340;359.8693;0.0656;0.0285;0.0071;0.0000;0.0000;0.0000;-0.2200;1.9000;2.3000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.1282;0.2765;0.2552;0.0000;45.6318;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;0.0222;0.0019;0.0016;0.1026;0.8494;6.2555;0.0000;0.0000;0.0000;0.0023;0.0004;0.0034;0.2362;1.0873;0.2404;320.9658;8.0735;324.7661;1.1638;1.6031;1.9438;2a709e7d-0405-4a89-99a2-89cb901f7841;2023-02-01 11:22:49.8445;NULL;-2.4314;-0.8718;3.8834;0.1247;-2.3880;3.1749;2.7576;-0.6549;3.7958;-3.1742;2.3139;4.9113;0.1890;4.4667;6.0809;2.7747;2.3111;4.6107;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
test@gmail.com;Sample;NULL;NULL;NULL;NULL;NULL;NULL;2112;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0273;1.2288;-0.2385;5.4771;0.4720;359.8815;0.0795;0.0380;0.0122;0.0000;0.0000;0.0000;-0.2200;1.9000;2.3000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.1282;0.2765;0.2552;0.0000;45.6318;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;0.0218;0.0042;0.0007;0.0809;0.8537;6.2562;0.0000;0.0000;0.0000;0.0029;0.0009;0.0034;0.2333;1.0882;0.2438;321.8096;6.2921;326.7786;0.8438;1.7814;2.0125;2a709e7d-0405-4a89-99a2-89cb901f7841;2023-02-01 11:22:49.8605;NULL;-2.4283;-0.8666;3.8877;0.1277;-2.3832;3.1797;2.7606;-0.6487;3.7965;-3.1711;2.3204;4.9117;0.1923;4.4755;6.0761;2.7776;2.3185;4.6073;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
